TeamID,OrigTsLength,OrigTotalPeaks,OrigPeakProp,MA2TsLength,MA2TotalPeaks,MA2PeakProp,MA3TsLength,MA3TotalPeaks,MA3PeakProp,MA4TsLength,MA4TotalPeaks,MA4PeakProp,MA5TsLength,MA5TotalPeaks,MA5PeakProp,MA6TsLength,MA6TotalPeaks,MA6PeakProp,MA7TsLength,MA7TotalPeaks,MA7PeakProp,MA8TsLength,MA8TotalPeaks,MA8PeakProp,MA9TsLength,MA9TotalPeaks,MA9PeakProp,MA10TsLength,MA10TotalPeaks,MA10PeakProp,MA11TsLength,MA11TotalPeaks,MA11PeakProp,MA12TsLength,MA12TotalPeaks,MA12PeakProp,MA13TsLength,MA13TotalPeaks,MA13PeakProp,MA14TsLength,MA14TotalPeaks,MA14PeakProp,MA15TsLength,MA15TotalPeaks,MA15PeakProp
1,347,57,0.16426513,346,45,0.130057803,345,39,0.113043478,344,36,0.104651163,343,25,0.072886297,342,26,0.076023392,341,24,0.070381232,340,24,0.070588235,339,24,0.07079646,338,22,0.065088757,337,22,0.065281899,336,20,0.05952381,335,22,0.065671642,334,18,0.053892216,333,18,0.054054054
2,134,19,0.141791045,133,13,0.097744361,132,13,0.098484848,131,11,0.083969466,130,9,0.069230769,129,9,0.069767442,128,9,0.0703125,127,11,0.086614173,126,10,0.079365079,125,7,0.056,124,5,0.040322581,123,6,0.048780488,122,6,0.049180328,121,6,0.049586777,120,6,0.05
